,mp_id,Formula,Composition,IPF,Density,Elastic_Tensor,E_above_Hull
10,mp-1061861,TiPd2,"{'Ti': 1.0, 'Pd': 2.0}",0.1638887160060213,9.256701109470628,,0.0
11,mp-1071163,TiO,"{'Ti': 1.0, 'O': 1.0}",0.5233847370096736,5.061326168862195,,0.0
12,mp-10721,Ti2C,"{'Ti': 2.0, 'C': 1.0}",0.13122955521003882,4.4397691684648475,"{'G_Reuss': 71.0, 'G_VRH': 78.0, 'G_Voigt': 86.0, 'G_Voigt_Reuss_Hill': 78.0, 'K_Reuss': 139.0, 'K_VRH': 139.0, 'K_Voigt': 139.0, 'K_Voigt_Reuss_Hill': 139.0, 'elastic_anisotropy': 1.07, 'elastic_tensor': [[199.0, 109.0, 109.0, 0.0, 0.0, 0.0], [109.0, 199.0, 109.0, 0.0, 0.0, 0.0], [109.0, 109.0, 199.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 113.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 113.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 113.0]], 'homogeneous_poisson': 0.26, 'poisson_ratio': 0.26, 'universal_anisotropy': 1.07, 'elastic_tensor_original': [[199.35815227561136, 108.73497943429275, 108.73497943429275, 0.0, 0.0, 0.0], [108.73613720412799, 199.36112132689996, 108.73613720412799, 0.0, 0.0, 0.0], [108.73839539439162, 108.73839539439162, 199.29777150434126, 0.0, 0.0, 0.0], [-0.04636705151719054, 0.03661198037724627, 0.06389427844681558, 112.67838219293024, 0.0, 0.0], [0.038294844903360166, -0.04492766443577376, 0.06438290903250082, 0.0, 112.6790585080306, 0.0], [4.184399313072179e-05, -0.0005137994674738634, 0.0006684310809085784, 0.0, 0.0, 112.68567735520683]], 'compliance_tensor': [[8.2, -2.9, -2.9, -0.0, 0.0, -0.0], [-2.9, 8.2, -2.9, -0.0, -0.0, 0.0], [-2.9, -2.9, 8.2, 0.0, -0.0, -0.0], [-0.0, -0.0, 0.0, 8.9, -0.0, -0.0], [0.0, -0.0, -0.0, -0.0, 8.9, -0.0], [-0.0, 0.0, -0.0, -0.0, -0.0, 8.9]], 'warnings': [], 'nsites': 12}",0.0
13,mp-1077503,TiSi2,"{'Ti': 1.0, 'Si': 2.0}",0.09106881221654255,4.027104836426312,,0.0
14,mp-1079460,Ti3Sn,"{'Ti': 3.0, 'Sn': 1.0}",0.1410465143044759,6.0481684813344145,,0.0
15,mp-1079796,Ti3Pd,"{'Ti': 3.0, 'Pd': 1.0}",0.15880139093055792,6.4000841888156295,,0.0
16,mp-1089,TiIr3,"{'Ti': 1.0, 'Ir': 3.0}",0.14077963316526612,17.774770707590932,"{'G_Reuss': 147.0, 'G_VRH': 162.0, 'G_Voigt': 176.0, 'G_Voigt_Reuss_Hill': 162.0, 'K_Reuss': 294.0, 'K_VRH': 294.0, 'K_Voigt': 294.0, 'K_Voigt_Reuss_Hill': 294.0, 'elastic_anisotropy': 0.98, 'elastic_tensor': [[422.0, 231.0, 231.0, 0.0, 0.0, 0.0], [231.0, 422.0, 231.0, 0.0, 0.0, 0.0], [231.0, 231.0, 422.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 230.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 230.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 230.0]], 'homogeneous_poisson': 0.27, 'poisson_ratio': 0.27, 'universal_anisotropy': 0.98, 'elastic_tensor_original': [[422.1743190678997, 230.59605680801857, 230.59605680801857, 0.0, 0.0, 0.0], [230.59547262185575, 422.17369878045207, 230.59547262185575, 0.0, 0.0, 0.0], [230.59578446834493, 230.59578446834493, 422.17358077822354, 0.0, 0.0, 0.0], [-6.782325173703227e-05, -5.4499934427137e-05, -0.0001253831824871336, 229.73709951996335, 0.0, 0.0], [1.584664760978248e-05, 2.2486639613877827e-05, 9.3233221169356e-05, 0.0, 229.73715684656102, 0.0], [9.78665489345884e-06, 4.183661633499789e-05, -3.8286620604918664e-05, 0.0, 0.0, 229.7370864533124]], 'compliance_tensor': [[3.9, -1.4, -1.4, -0.0, -0.0, -0.0], [-1.4, 3.9, -1.4, -0.0, -0.0, -0.0], [-1.4, -1.4, 3.9, 0.0, 0.0, 0.0], [-0.0, -0.0, 0.0, 4.4, 0.0, 0.0], [-0.0, -0.0, 0.0, 0.0, 4.4, 0.0], [-0.0, -0.0, 0.0, 0.0, 0.0, 4.4]], 'warnings': [], 'nsites': 4}",0.0
17,mp-1104067,TiBe12,"{'Ti': 1.0, 'Be': 12.0}",0.11586626289038228,2.324903434917743,,0.0
18,mp-1145,TiB2,"{'Ti': 1.0, 'B': 2.0}",0.1230849374375109,4.48742509138872,"{'G_Reuss': 250.0, 'G_VRH': 253.0, 'G_Voigt': 256.0, 'G_Voigt_Reuss_Hill': 253.0, 'K_Reuss': 251.0, 'K_VRH': 253.0, 'K_Voigt': 256.0, 'K_Voigt_Reuss_Hill': 253.0, 'elastic_anisotropy': 0.14, 'elastic_tensor': [[642.0, 75.0, 106.0, 0.0, 0.0, 0.0], [75.0, 642.0, 106.0, 0.0, 0.0, 0.0], [106.0, 106.0, 443.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 258.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 258.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 283.0]], 'homogeneous_poisson': 0.13, 'poisson_ratio': 0.13, 'universal_anisotropy': 0.14, 'elastic_tensor_original': [[637.4066859697858, 79.2246512950309, 106.95474967572693, 0.0, 0.0, 5.654067531840824e-06], [79.37074695010953, 638.3443032271819, 105.2693250438726, 0.0, 0.0, -0.00012145026801905733], [106.76208354326862, 106.76215861742725, 443.2669595636135, 0.0, 0.0, -2.029850096012123e-05], [8.953639995361561e-05, 7.963976276548428e-05, 0.00016740616799089218, 257.87152274697206, -4.904652056587632e-05, 0.0], [0.0003417169874893938, 5.893658743901361e-06, -3.444988949850901e-05, 3.999991768504147e-07, 257.97553247059875, 0.0], [0.05340569225452255, 0.04623789965306919, -0.03301787011293561, 0.0, 0.0, 287.08911645767097]], 'compliance_tensor': [[1.6, -0.1, -0.4, -0.0, 0.0, 0.0], [-0.1, 1.6, -0.4, 0.0, -0.0, 0.0], [-0.4, -0.4, 2.4, -0.0, 0.0, -0.0], [-0.0, 0.0, -0.0, 3.9, 0.0, -0.0], [0.0, -0.0, 0.0, 0.0, 3.9, -0.0], [0.0, 0.0, -0.0, -0.0, -0.0, 3.5]], 'warnings': [], 'nsites': 3}",0.0
19,mp-1147,Ti3O5,"{'Ti': 3.0, 'O': 5.0}",0.5600231544369283,4.187247707142454,"{'G_Reuss': 74.0, 'G_VRH': 76.0, 'G_Voigt': 79.0, 'G_Voigt_Reuss_Hill': 76.0, 'K_Reuss': 162.0, 'K_VRH': 171.0, 'K_Voigt': 180.0, 'K_Voigt_Reuss_Hill': 171.0, 'elastic_anisotropy': 0.5, 'elastic_tensor': [[217.0, 145.0, 91.0, 0.0, -3.0, 0.0], [145.0, 392.0, 131.0, 0.0, 16.0, 0.0], [91.0, 131.0, 280.0, 0.0, 32.0, 0.0], [0.0, 0.0, 0.0, 74.0, 0.0, -4.0], [-3.0, 16.0, 32.0, 0.0, 90.0, 0.0], [0.0, 0.0, 0.0, -4.0, 0.0, 58.0]], 'homogeneous_poisson': 0.31, 'poisson_ratio': 0.31, 'universal_anisotropy': 0.5, 'elastic_tensor_original': [[392.32351115382806, 145.0454624291706, 131.91172833292438, -17.82672241390639, 0.0, 0.0], [142.86088437727335, 217.60814249086013, 90.66745594929648, 6.316705983786306, 0.0, 0.0], [130.49950806548642, 88.41975424658261, 283.0574348496356, -32.24488605125153, 0.0, 0.0], [-14.539626688290213, 2.0385136033167854, -31.391819159325767, 88.18854400662389, 0.0, 0.0], [-0.00027137300623829844, 5.869659591732867e-05, 0.0001416098293123515, -0.00020072642472440818, 74.12138510890917, 4.3304802503211075], [-5.0066610676932516e-05, -3.4456628132684155e-05, 1.8359979467205738e-05, 2.189330884967765e-05, 4.911200957710865, 58.39580712819518]], 'compliance_tensor': [[6.5, -2.0, -1.3, 0.0, 1.0, 0.0], [-2.0, 3.6, -1.0, 0.0, -0.4, 0.0], [-1.3, -1.0, 4.6, 0.0, -1.5, 0.0], [0.0, 0.0, 0.0, 13.5, 0.0, 1.0], [1.0, -0.4, -1.5, 0.0, 11.8, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 17.3]], 'warnings': [], 'nsites': 16}",0.0
