mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus,PC 1,PC 2,PC 3
mp-7600,Th(FeSi)2,0.15089079406668066,8.501325575542893,0.0,88.0,154.0,0.22,0.26,221.76,-1.7682548715814974,-0.108476484228864,0.6556382569850011
mp-862288,AlFe2W,0.16552365154728016,10.595547042879602,0.0,64.0,232.0,3.85,0.37,175.36,-0.04478228002735879,-0.203961125560254,0.3851295453172717
mp-862288,AlFe2W,0.165523652,10.59554704,0.0,64.0,232.0,3.85,0.37,175.36,-0.04478228002735879,-0.203961125560254,0.3851295453172717
mp-864764,Ta2FeOs,0.13595772431198386,16.164722811212954,0.0,83.0,249.0,0.19,0.35,224.1,-0.6371337874813563,-0.11261509112182984,-0.14066714010657405
mp-864764,Ta2FeOs,0.135957724,16.16472281,0.0,83.0,249.0,0.19,0.35,224.1,-0.6371337874813563,-0.11261509112182984,-0.14066714010657405
mp-865187,MgFeRh2,0.15279574249770486,8.317102651224308,0.0,73.0,155.0,0.4,0.3,189.8,-0.6514952636466009,1.1167540100779407,0.7671051476259303
mp-9198,Fe(SiP)4,0.055335026870076964,3.3459219879134334,0.0,91.0,115.0,0.46,0.19,216.58,-2.5950548736709163,-0.4131958287579853,1.0002108309343114
mp-1019100,SmFeSi,0.1997474951801632,7.045097021894572,0.0,48.0,76.0,1.29,0.24,119.04,-0.4045323410235274,0.11251657256173878,0.08971083463647149
mp-12061,Lu(FeB)2,0.17942564343113718,9.21336916297408,0.0,71.0,148.0,11.58,0.29,183.18,-0.9058203090101223,-0.04247618874292966,0.5706954004932479
mp-16334,Fe3PdN,0.19676951228902068,8.27411915840166,0.0,85.0,187.0,0.07,0.3,221.0,-0.6359903489544536,0.3452748259063542,0.6657545678526142
mp-19102,Sr2FeO4,0.5771798647859696,5.106824805695793,0.0,63.0,111.0,0.03,0.26,158.76,1.4485209758809952,2.3649754785253823,-0.30149959357300826
mp-19359,NaFeO2,0.5920539626991935,4.208426588436105,0.0,72.0,114.0,0.3,0.24,178.56,1.0605022347904758,0.4825348719948711,-0.37063378446334283
mp-19963,TiFe2Sn,0.1842176596479672,8.367357755094483,0.0,106.0,181.0,0.0,0.26,267.12,-0.32686894445399567,-0.25039590193779454,-0.1505369605759688
mp-19963,TiFe2Sn,0.18421766,8.367357755,0.0,106.0,181.0,0.0,0.26,267.12,-0.32686894445399567,-0.25039590193779454,-0.1505369605759688
mp-22434,HfFeP,0.14317211265699495,10.755335245579223,0.0,125.0,213.0,0.13,0.25,312.5,-0.5295888267287131,-0.2596727270240817,0.04819728241322932
mp-22434,HfFeP,0.14317211300000002,10.75533525,0.0,125.0,213.0,0.13,0.25,312.5,-0.5295888267287131,-0.2596727270240817,0.04819728241322932
mp-4088,La(FeSi)2,0.1619870600352024,6.226265158917527,0.0,70.0,106.0,0.42,0.23,172.2,-1.346059196908898,0.3887260215636311,0.8424695285147138
mp-4196,NdFeSi2,0.1801205340396293,6.069993532662315,0.0,81.0,115.0,0.14,0.22,197.64,-1.2517733490835505,-0.010085862114887573,0.12631540185582724
mp-4883,Ba(FeP)2,0.2257445021865103,5.702756767321699,0.0,56.0,90.0,0.55,0.24,138.88,-0.05241303264291579,0.9233224478292711,-0.4386123942471138
mp-505332,LaFeSi,0.16556574698085802,6.127574045141812,0.0,24.0,38.0,30.77,0.25,60.0,-0.7766816737799267,0.4042904700925912,0.6356228851936108
mp-624492,Li(Fe3Ge2)2,0.18318550584879445,7.323536906496803,0.0,65.0,135.0,0.34,0.29,167.70000000000005,-2.222077536357028,0.06583237359214811,0.7805133960027626
mp-8306,Ba3FeN3,0.2903487904128355,5.196240137983644,0.0,19.0,33.0,0.6,0.26,47.88,2.4667232573339417,4.928819895848825,-1.6268664678638731
mp-8648,TiFeSi,0.1501576695810445,5.6248780041688065,0.0,109.0,183.0,0.4,0.25,272.5,-0.52067216751802,-0.22784008364599614,-0.02975908511530619
mp-8648,TiFeSi,0.15015767,5.624878004,0.0,109.0,183.0,0.4,0.25,272.5,-0.52067216751802,-0.22784008364599614,-0.02975908511530619
mp-9437,NbFeSb,0.13730043256093735,8.448733889055742,0.0,81.0,166.0,0.26,0.29,208.98,-0.1006491222598704,0.05594605316979699,-0.42306448238990135
mp-9437,NbFeSb,0.137300433,8.448733889,0.0,81.0,166.0,0.26,0.29,208.98,-0.1006491222598704,0.05594605316979699,-0.42306448238990135
mp-16272,Ce(FeP3)4,0.1017619091914366,5.171877804843587,0.0,132.0,161.0,0.02,0.18,311.52,-4.125357668839681,-0.23073126219586024,3.2543350282150265
mp-21141,Fe2CuGe2,0.16984691256283047,7.982389200859108,0.7931206666675905,62.0,129.0,0.98,0.29,159.96,-1.0615140480915681,-0.4218019956735811,-0.17668646947328556
mp-21471,LiFeAs,0.15618313575265286,5.211400407134747,0.0,40.0,68.0,0.49,0.25,100.0,-0.15789794654147077,0.07448099605618907,0.06187578920443305
mp-27904,FeSbS,0.15666462674286738,6.952996117476952,0.0,97.0,112.0,0.31,0.16,225.04,-0.40432589071799374,-0.2720432309509875,-0.23312060653850006
mp-28884,Cs(FeAs)2,0.291217460302899,5.880310923396107,0.0,26.0,44.0,0.18,0.25,65.0,0.8727983365821966,-1.2118929827676255,1.0427009908801415
mp-31187,TiAlFe2,0.18302227726688025,6.253070135591179,0.0,105.0,185.0,0.07,0.26,264.6,-0.44008498806533697,-0.1860105411580471,0.05818769185796716
mp-31187,TiAlFe2,0.18302227699999998,6.253070136,0.0,105.0,185.0,0.07,0.26,264.6,-0.44008498806533697,-0.1860105411580471,0.05818769185796716
mp-3805,Al(FeB)2,0.15354113742872438,5.79199396598175,0.0,129.0,203.0,0.2,0.24,319.92,-0.7932561298835711,0.039196001654406065,0.4157457206870648
mp-5399,Tb(FeSi)2,0.1389395877509802,7.200878266867101,0.0,82.0,137.0,0.2,0.25,205.0,-1.6050480995116658,0.09299407714940536,0.5016899595841863
mp-5597,Ca(FeP)2,0.1754508400779713,4.868177390439816,0.0,79.0,89.0,1.59,0.16,183.28,-0.967887919883282,0.9635525442158108,1.710483673092078
mp-561511,FeAsS,0.15310685391173326,6.221555948909835,0.0,117.0,143.0,0.28,0.18,276.12,-0.1971580931301347,-0.28993478156679275,-0.28203977673495356
mp-862290,LiFeRh2,0.1741622516269664,8.524073952353506,0.0,60.0,143.0,1.19,0.32,158.4,-0.32845905897104516,0.1571279102119999,-0.07328189235939
mp-866141,TiFe2Si,0.18300581412782066,6.7581276538375015,0.0,146.0,229.0,0.01,0.24,362.08,-0.726762887851158,-0.2090642664319924,0.11562646028606074
mp-866141,TiFe2Si,0.183005814,6.758127654,0.0,146.0,229.0,0.01,0.24,362.08,-0.726762887851158,-0.2090642664319924,0.11562646028606074
mp-975359,Rb(FeAs)2,0.2617425348093682,5.6360249502044235,0.0,26.0,49.0,1.0,0.27,66.04,0.7987267017658254,-0.8346064327164254,0.8888863443275438
mp-983358,HfAlFe2,0.16546743070198322,9.628102428037316,0.0,91.0,166.0,0.01,0.27,231.14,-0.5993387908418728,-0.22261500008123314,0.03250385565063143
mp-983358,HfAlFe2,0.165467431,9.628102428,0.0,91.0,166.0,0.01,0.27,231.14,-0.5993387908418728,-0.22261500008123314,0.03250385565063143
mp-1029659,Ca3FeN3,0.2166933250015826,3.222255763827941,0.0,47.0,76.0,0.05,0.25,117.5,-0.2797014043871587,5.049510185008442,4.820421734153697
mp-11201,Sc6FeSb2,0.1249780184086204,4.7611336384527565,0.0,45.0,72.0,0.19,0.24,111.6,-1.2066800233771229,-0.5657268847453281,0.25962465563997755
mp-12075,Tb(FeB)2,0.15680959796955354,7.821976730972778,0.0,74.0,123.0,0.19,0.25,185.0,-1.0989219748928116,0.35094229853942893,0.5511443769058237
mp-19035,BaFeO3,0.6339850627730784,6.104829379579924,0.0,75.0,116.0,0.18,0.24,186.0,1.2926577809512019,1.6875717737397737,-1.4385954061601502
mp-20049,LiFeP,0.1579303912105199,3.8747953902789183,0.0,51.0,80.0,0.76,0.24,126.48,-0.4215545942111426,0.1395045399235765,0.32646839455306503
mp-20238,Th(FeGe)2,0.17001763779218046,9.65994186354958,0.0,72.0,126.0,0.24,0.26,181.44,-1.5331907658449233,-0.13835580404259168,0.4788253491947654
mp-20245,CeFeSi,0.1557575610897289,6.792241310030812,0.0,32.0,88.0,6.39,0.34,85.76,-1.3149763998761843,0.03342242279352436,0.898423870063395
mp-20924,U(FeSi)2,0.1458053346377448,9.280268498520932,0.0,82.0,168.0,1.94,0.29,211.56,-1.5387421445516556,-0.17185885745356572,0.9031001609253428
mp-21662,TiFeSi2,0.12595933635788814,5.1432356119067775,0.0,116.0,180.0,0.03,0.24,287.68,-0.8839589703138564,-0.26218034938896045,0.03170201280442808
mp-21662,TiFeSi2,0.125959336,5.143235612,0.0,116.0,180.0,0.03,0.24,287.68,-0.8839589703138564,-0.26218034938896045,0.03170201280442808
mp-22191,HfFeGe,0.15446623864784298,11.1212707640574,0.0,91.0,197.0,0.25,0.3,236.6,-0.5623939174262681,-0.27938420247604634,-0.14384937521775912
mp-22191,HfFeGe,0.154466239,11.12127076,0.0,91.0,197.0,0.25,0.3,236.6,-0.5623939174262681,-0.27938420247604634,-0.14384937521775912
mp-23804,Mg2FeH6,0.1199095288130903,2.7767773872587216,0.0,61.0,79.0,0.01,0.19,145.18,-1.2283975588256313,5.693690233885147,4.820912189874687
mp-3035,Ce(FeSi)2,0.15386968756067726,6.676438879050528,0.0,76.0,144.0,0.24,0.28,194.56,-1.8843539230051567,0.017857974264564227,1.1052705133844969
mp-3618,Sc2FeSi2,0.11957588545877705,4.124423887485785,0.0,75.0,120.0,0.11,0.24,186.0,-1.2178990909969942,-0.31116317409785704,0.3058193251391433
mp-4488,Sr(FeAs)2,0.18785084506156496,6.319998733248389,0.0,42.0,78.0,1.1,0.27,106.68,-0.0008579514977456881,0.4507069240296694,0.19223033301225706
mp-4595,VFe2Si,0.17560167243740976,7.112631276806603,0.0,44.0,246.0,22.73,0.42,124.96,-0.8486800843366501,-0.2690332293243202,0.24233294702838656
mp-4595,VFe2Si,0.175601672,7.112631277,0.0,44.0,246.0,22.73,0.42,124.96,-0.8486800843366501,-0.2690332293243202,0.24233294702838656
mp-510281,FeCuO2,0.4620488694594185,5.361834298244193,0.0,50.0,143.0,2.4,0.34,134.0,0.1114733552973287,0.14057420023125816,-0.6177778783908593
mp-540809,Zr2Fe12P7,0.16975722021180134,7.290370076772892,0.0,127.0,216.0,0.09,0.25,317.5,-4.1231180223596775,-0.43228926891042335,2.6255600203511613
mp-540809,Zr2Fe12P7,0.16975722,7.290370077,0.0,127.0,216.0,0.09,0.25,317.5,-4.1231180223596775,-0.43228926891042335,2.6255600203511613
mp-865179,Hf2FeOs,0.13636325971507504,15.144160510755146,0.0,94.0,196.0,0.15,0.29,242.52,-0.5152194652489734,-0.5186591246676319,-0.6049512066612215
mp-865179,Hf2FeOs,0.13636326,15.14416051,0.0,94.0,196.0,0.15,0.29,242.52,-0.5152194652489734,-0.5186591246676319,-0.6049512066612215
mp-961673,TiFeTe,0.2797864537394527,7.544316549414457,0.0,80.0,153.0,0.04,0.28,204.8,-0.15438629938600912,-0.35544906807102844,-0.15667207950268952
mp-961673,TiFeTe,0.27978645399999996,7.544316548999999,0.0,80.0,153.0,0.04,0.28,204.8,-0.15438629938600912,-0.35544906807102844,-0.15667207950268952
mp-1018895,PrFeSi,0.14052708255416846,6.364388156200223,0.0,42.0,61.0,2.04,0.22,102.48,-1.6250249683971212,-0.43970800583612085,0.4082214874149206
mp-11202,Y6FeSb2,0.14630713364471787,5.6743866817132185,0.0,35.0,59.0,0.25,0.25,87.5,-1.0190821937945795,1.0277983786214437,-0.22887273720508727
mp-19421,FeWO4,0.5342803459794407,7.090244770279603,0.0,54.0,141.0,0.62,0.33,143.64,1.1886917097171192,0.7537339213331341,-0.4634714805096805
mp-19421,FeWO4,0.534280346,7.09024477,0.0,54.0,141.0,0.62,0.33,143.64,1.1886917097171192,0.7537339213331341,-0.4634714805096805
mp-21336,TaFeP,0.14664585366594407,11.640108246456196,0.0,143.0,264.0,0.1,0.27,363.22,-0.590545987844904,-0.056650710251180715,0.2803393156905534
mp-21336,TaFeP,0.146645854,11.64010825,0.0,143.0,264.0,0.1,0.27,363.22,-0.590545987844904,-0.056650710251180715,0.2803393156905534
mp-22152,NaFeAs,0.19410324245881008,4.793908386613678,0.0,32.0,50.0,0.9,0.23,78.72,0.6358220400294919,-0.09464928388956644,-0.12052851268939699
mp-22701,ScFeSi,0.13951689756665347,4.848691540330628,0.0,62.0,139.0,0.62,0.31,162.44,-0.7540040582822986,-0.23436206954626582,0.19989027888604757
mp-31185,MnAlFe2,0.1663795746323075,7.019572565285538,0.0,122.0,196.0,0.67,0.24,302.56,-0.5584360419220965,-0.23820368269087838,0.09676711073868767
mp-4189,Dy6FeSb2,0.1801640555763463,8.715163774193382,0.0,35.0,60.0,0.24,0.25,87.5,-3.0064341711447025,-0.1809765507322425,0.5626585846742896
mp-510624,SrFeO3,0.6235820148808287,5.3056988684625415,0.0,83.0,131.0,0.0,0.24,205.84,0.8168995667570276,1.3450033376749468,-0.27856746820351547
mp-5451,Er(FeGe)2,0.17038328912943895,8.830491042709065,0.0,51.0,126.0,0.76,0.32,134.64,-1.5599863797812215,-0.24154617237514658,0.16451352532400682
mp-5529,MnFe2Si,0.15988294526845548,7.393942769723793,0.0,97.0,233.0,2.61,0.32,256.08,-0.8451139417079173,-0.26125740796482344,0.15420587916678125
mp-568961,Ba(FeAs)2,0.20882032009483686,6.446281180426621,0.0,42.0,77.0,0.59,0.27,106.68,0.47490026269642976,0.7932753600944965,-0.9677976049443786
mp-636320,TiGaFe2,0.1969910165773528,7.798866002382084,0.0,100.0,190.0,0.32,0.28,256.0,-0.4443358854309234,-0.20198172153113098,-0.011357246219265807
mp-636320,TiGaFe2,0.196991017,7.7988660020000005,0.0,100.0,190.0,0.32,0.28,256.0,-0.4443358854309234,-0.20198172153113098,-0.011357246219265807
mp-861953,AlFeRh2,0.1347054325552005,8.787100304790068,0.0,38.0,193.0,29.81,0.41,107.16,-0.4865720525675136,-0.1807925853731333,-0.13666542313225863
mp-861983,Ti2MnFe,0.17020698849289725,6.549536522803793,0.0,78.0,180.0,0.63,0.31,204.36,-0.010289096888107781,-0.3175706652525787,-0.4230035954903027
mp-861983,Ti2MnFe,0.170206988,6.5495365229999996,0.0,78.0,180.0,0.63,0.31,204.36,-0.010289096888107781,-0.3175706652525787,-0.4230035954903027
mp-865170,GaFeRh2,0.1428965390542674,9.955781372266408,0.0,-57.0,192.0,-6.48,0.67,-190.38,-0.4908229499330998,-0.19676376574621696,-0.2062103612094918
mp-865280,NbAlFe2,0.1679079732267066,7.347107032217942,0.0,124.0,212.0,0.0,0.26,312.48,-0.226887936454843,0.14013577336422753,-0.22308447400032047
mp-865280,NbAlFe2,0.16790797300000002,7.347107032,0.0,124.0,212.0,0.0,0.26,312.48,-0.226887936454843,0.14013577336422753,-0.22308447400032047
mp-866051,HfFe2Sn,0.16939683382649162,11.322827521885165,0.0,107.0,179.0,0.0,0.25,267.5,-0.48612274723053145,-0.2870003608609805,-0.17622079678330443
mp-866051,HfFe2Sn,0.169396834,11.32282752,0.0,107.0,179.0,0.0,0.25,267.5,-0.48612274723053145,-0.2870003608609805,-0.17622079678330443
mp-9381,Zr6FeTe2,0.190944595199784,7.415098713774526,0.0,60.0,114.0,0.09,0.28,153.6,-0.5102012704480838,-1.3043088909849114,-0.7069965301605489
mp-9381,Zr6FeTe2,0.190944595,7.415098714,0.0,60.0,114.0,0.09,0.28,153.6,-0.5102012704480838,-1.3043088909849114,-0.7069965301605489
mp-9884,KFeSe2,0.2337012095749796,3.770900712859419,0.0,8.0,18.0,2.2,0.31,20.96,1.3258653428670197,-1.1472490090947645,1.1725155361429322
mp-10065,UFe3B2,0.19358538383855708,11.036221026167702,0.0,132.0,233.0,0.55,0.26,332.64,-1.2387067402659386,0.10486518115046199,1.0979401236483466
mp-1029739,Li6FeN4,0.24424175742746204,2.4799371669257533,0.0,69.0,84.0,0.02,0.17,161.45999999999995,0.3959477682819299,4.099105929470673,2.236606562594805
mp-10445,Sc6FeTe2,0.1941346317857757,4.9089042046840845,0.0,32.0,68.0,1.23,0.29,82.56,-0.8877602744084121,-0.73622449818243,0.22986512969782635
mp-18750,Mn(FeO2)2,0.4968106341675815,4.77457823904019,0.0,59.0,158.0,0.63,0.33,156.94,0.4689472274892443,0.7382671814165136,-0.6064483696868976
mp-18924,Sr3(FeO3)2,0.5337605861407245,4.943361645847292,0.0,55.0,109.0,0.73,0.28,140.8,2.1117452562721564,3.6450195174994127,-0.3538444612746208
mp-21113,Y(FeGe)2,0.16988194597056885,7.1079597310891485,0.0,57.0,126.0,0.38,0.3,148.20000000000005,-1.0570511707442716,-0.014218293994491536,0.14850778227606917
mp-4656,Y(Al2Fe)4,0.13357415184886798,4.612205621434769,0.0,85.0,123.0,0.17,0.22,207.4,-1.590594335635574,0.031600867981020096,0.5253482209626935
mp-541196,Ce2Fe12P7,0.18136902482679093,7.54758423829157,0.0,112.0,180.0,0.13,0.24,277.76,-5.370915706867557,0.2926411800366498,4.334914422658649
mp-567636,VFeSb,0.14346294918194893,7.8237252908534005,0.0,62.0,160.0,0.49,0.33,164.92000000000004,-0.4357633703558569,-0.33016922424480544,-0.015085829789288806
mp-567636,VFeSb,0.143462949,7.8237252910000015,0.0,62.0,160.0,0.49,0.33,164.92,-0.4357633703558569,-0.33016922424480544,-0.015085829789288806
mp-774155,Li2FeO3,0.6281668601388051,3.628809075015994,0.0,63.0,99.0,0.79,0.24,156.24,0.5859799304062973,1.219595187966335,-0.2956219100384898
mp-862691,Al2FeCo,0.15084992827688273,5.977171478082613,0.0,117.0,181.0,0.24,0.23,287.82,-0.591851293753805,-0.2637136536332006,-0.04259965647611328
mp-867216,TaFeRu2,0.1236201319787054,12.301920219995141,0.0,105.0,236.0,0.08,0.31,275.1,-0.5996777861357574,-0.2624800899115571,-0.017484405395968235
mp-867216,TaFeRu2,0.123620132,12.30192022,0.0,105.0,236.0,0.08,0.31,275.1,-0.5996777861357574,-0.2624800899115571,-0.017484405395968235
mp-867304,BeVFe2,0.1920003220884418,6.823927950272398,0.0,110.0,222.0,0.16,0.29,283.8,-0.5085093625386928,-0.28449293725155717,0.13224531061866918
mp-867304,BeVFe2,0.192000322,6.82392795,0.0,110.0,222.0,0.16,0.29,283.8,-0.5085093625386928,-0.28449293725155717,0.13224531061866918
mp-867507,TaGaFe2,0.1831303139670774,11.799447669082904,0.0,124.0,224.0,0.03,0.27,314.96,-0.6645468493236502,-0.035564163681415864,0.19510095085072213
mp-867507,TaGaFe2,0.183130314,11.79944767,0.0,124.0,224.0,0.03,0.27,314.96,-0.6645468493236502,-0.035564163681415864,0.19510095085072213
mp-979267,Ta2FeMo,0.1463283420235767,13.620045837210329,0.0,98.0,218.0,0.6,0.3,254.8,-0.5093761129299925,-0.10057161251468039,0.3429514693547783
mp-979267,Ta2FeMo,0.146328342,13.62004584,0.0,98.0,218.0,0.6,0.3,254.8,-0.5093761129299925,-0.10057161251468039,0.3429514693547783
mp-10755,TiFeSb,0.14279689597396342,7.055233350704827,0.0,53.0,114.0,0.11,0.3,137.8,-0.31384617387036456,-0.2702002613524777,-0.14179231653161364
mp-10755,TiFeSb,0.142796896,7.055233351,0.0,53.0,114.0,0.11,0.3,137.8,-0.31384617387036456,-0.2702002613524777,-0.14179231653161364
mp-12077,Y(FeB)2,0.16947493920527334,5.9674379365622645,0.0,75.0,120.0,0.25,0.24,186.0,-0.7859891518619921,0.2736092472092597,0.37477510738794284
mp-12962,Zr6FeSb2,0.12096057843147195,7.276886289223003,0.0,58.0,113.0,0.11,0.28,148.48,-0.8291210194167946,-1.13381127754781,-0.6772370042183958
mp-12962,Zr6FeSb2,0.12096057800000001,7.276886289,0.0,58.0,113.0,0.11,0.28,148.48,-0.8291210194167946,-1.13381127754781,-0.6772370042183958
mp-21363,TbFeSi,0.1343122029832427,7.506788296223648,0.0,54.0,88.0,0.88,0.25,135.0,-1.035670576382694,0.10855852567836542,0.29484331626308385
mp-21883,VGaFe2,0.1926313797461748,8.260081041652537,0.0,122.0,225.0,0.03,0.27,309.88,-0.5662530819164158,-0.26195068442345854,0.11534924052305905
mp-21883,VGaFe2,0.19263138,8.260081042000001,0.0,122.0,225.0,0.03,0.27,309.88,-0.5662530819164158,-0.26195068442345854,0.11534924052305905
mp-3299,Sr(FeP)2,0.19550052751793973,5.2294993112533685,0.0,57.0,92.0,1.12,0.24,141.36,-0.52817124683709,0.5807540117644436,0.7214155437095215
mp-4939,Dy(FeSi)2,0.16826154390583853,7.343450701054419,0.0,84.0,149.0,0.17,0.26,211.68,-1.6233406060392002,-0.18580146240637824,0.4572425770462014
mp-5372,RbFeS2,0.2543008406930701,3.1586920367926523,0.0,7.0,17.0,5.57,0.31,18.34,0.9878913332151816,-0.7397619068136624,0.38946399496247325
mp-579496,Fe3PtN,0.1915959768968402,10.875201077103958,0.0,100.0,214.0,0.08,0.3,260.0,-0.6846975551001697,0.27521176189041596,0.724624093254433
mp-626680,Fe(HO)2,0.4391245871633099,3.385648190934757,0.4583850000017264,27.0,44.0,1.68,0.25,67.5,0.03353672260645112,1.4179415597964184,0.7148197094133376
mp-866031,Al2FeIr,0.13580521487181216,9.665034987039776,0.0,99.0,182.0,0.66,0.27,251.46,-0.5635804726292072,-0.2970012430489548,0.04070825385360774
mp-866375,TiFe2Ge,0.19972684237916305,7.9470025900251375,0.0,127.0,215.0,0.0,0.25,317.5,-0.6092308349828695,-0.2240039263388564,0.02722000639094427
mp-866375,TiFe2Ge,0.199726842,7.94700259,0.0,127.0,215.0,0.0,0.25,317.5,-0.6092308349828695,-0.2240039263388564,0.02722000639094427
mp-1018071,MnFe2Ge,0.17818629265494992,8.5873031821058,0.0,51.0,217.0,40.98,0.39,141.78,-0.7275818888396294,-0.27619706787168763,0.06579942527166412
mp-16483,BaAl9Fe2,0.13972301430837555,3.7243295083372905,0.0,45.0,79.0,0.7,0.26,113.4,-0.31599384127306684,0.8808804840038269,-0.732614032133561
mp-19097,FeBO3,0.6047509602150205,4.108906898895016,0.0,93.0,174.0,0.54,0.27,236.22,0.3127480087469838,0.6609611226861535,-0.3442453239869551
mp-19225,FeAgO2,0.4799470645391793,6.307568894088197,0.0,41.0,131.0,4.98,0.36,111.52,0.16288050159286974,0.5608203448222527,-0.9787482777983321
mp-22698,DyFeSi,0.17598792325122878,7.731271210689282,0.0,55.0,92.0,0.89,0.25,137.5,-1.0539630829102284,-0.170237013877418,0.25039593372509894
mp-30073,La(FeSb3)4,0.1183066392181886,7.8101188244117585,0.0,56.0,88.0,0.32,0.24,138.88,-2.9091967417616673,-0.4254471339157796,0.4034528215190993
mp-30551,GaFeCo2,0.17704786353696056,8.691986889856317,0.0,81.0,191.0,1.87,0.31,212.22,-0.6680177502755478,-0.35197790123775363,-0.26077247213733157
mp-3464,FeSiRu2,0.10981100280290496,9.193008838162203,0.0,116.0,237.0,0.02,0.29,299.2800000000001,-0.8754772858842846,-0.42729906059587847,0.022699911121769015
mp-5288,Y(FeSi)2,0.14956770032236896,5.6830162683780205,0.0,80.0,140.0,0.13,0.26,201.6,-1.2921152764808463,0.0156610258192363,0.3253206900663049
mp-571500,Ho(FeB)2,0.1735182706004257,8.189445893753442,0.0,77.0,100.0,0.22,0.19,183.26,-1.2730820987455125,-0.18363544166041482,0.6196175634162788
mp-690544,Ga2FeO4,0.5253411617198392,5.684689240639937,0.0,74.0,173.0,0.42,0.31,193.88,0.4989457400825198,0.7531079169594931,-0.7362771354721798
mp-862669,BeFe2Si,0.1702747319563653,6.269390828054856,0.0,122.0,223.0,0.43,0.27,309.88,-0.882602629694455,-0.2229253871938357,0.2521813374640692
mp-864890,Hf2FeIr,0.14258118802711173,14.898057437222654,0.0,65.0,188.0,0.0,0.34,174.20000000000005,-0.46342295047141113,-0.4195147857740045,-0.3890669088803265
mp-864890,Hf2FeIr,0.142581188,14.89805744,0.0,65.0,188.0,0.0,0.34,174.2,-0.46342295047141113,-0.4195147857740045,-0.3890669088803265
mp-9549,ScFeGe,0.1535804375798964,5.968421754413581,0.0,53.0,101.0,0.55,0.28,135.68,-0.6364720054140106,-0.24930172945312964,0.1114838249909293
mp-10884,AlFeCo2,0.16561678757850282,7.183512710543788,0.0,98.0,188.0,1.01,0.28,250.88,-0.6637668529099612,-0.33600672086466954,-0.19122753406009876
mp-11038,Zr6Al2Fe,0.11593527357972633,5.979508612096697,0.6823062777749911,48.0,105.0,0.0,0.3,124.8,-0.6694172071404657,-1.0029834715869566,-0.5680480782419702
mp-11038,Zr6Al2Fe,0.115935274,5.979508612,0.682306278,48.0,105.0,0.0,0.3,124.8,-0.6694172071404657,-1.0029834715869566,-0.5680480782419702
mp-19112,FeSO4,0.5363093054539325,3.471794177389916,0.6200458333314174,39.0,73.0,0.32,0.27,99.06,0.7029092848315117,0.7698415361368313,-0.8817416239758719
mp-20690,NdFeSi,0.20752190866567607,6.57013858893239,0.0,45.0,59.0,1.58,0.2,108.0,-0.8884865462877144,0.024254403628076397,0.0648543039360929
mp-557403,LiFe2F6,0.16008144939291774,3.626600190170163,0.0,33.0,72.0,0.77,0.3,85.8,2.037629022424945,-1.3459220778923795,2.4640702852993184
mp-580234,Fe3RhN,0.18485878347620224,8.264551981653039,0.0,83.0,200.0,0.16,0.32,219.12,-0.7129594656461217,0.44823392042077925,0.7019603729009609
mp-6957,Ce(FeP)2,0.16027200221524826,7.040081781783568,0.0,86.0,113.0,2.15,0.2,206.4,-1.5836796358734722,0.027401605354765584,1.3125509208562387
mp-861672,Ti2FeIr,0.16811635255747065,9.950049065017925,0.0,72.0,191.0,0.04,0.33,191.52,-0.14491534491834018,-0.3463058679276322,-0.3376992364656557
mp-861672,Ti2FeIr,0.168116353,9.950049065,0.0,72.0,191.0,0.04,0.33,191.52,-0.14491534491834018,-0.3463058679276322,-0.3376992364656557
mp-867249,TaAlFe2,0.16952002333910032,10.2376920474426,0.0,137.0,222.0,0.0,0.24,339.76,-0.6602959519580637,-0.0195929833083323,0.2646458889279555
mp-867249,TaAlFe2,0.16952002300000002,10.23769205,0.0,137.0,222.0,0.0,0.24,339.76,-0.6602959519580637,-0.0195929833083323,0.2646458889279555
mp-867878,AlFe2Si,0.16212246129176208,6.289050035764848,0.0,124.0,216.0,0.1,0.26,312.48,-0.9360954517065914,-0.1844119539926536,0.3048302054456921
mp-19017,LiFePO4,0.5281605073077549,3.4708958823634912,0.0,48.0,91.0,0.17,0.28,122.88,0.5292197721901825,1.1046888635619492,-0.37272475638087954
mp-558674,K2NaFeF6,0.3131620163600146,2.9758159256131105,0.0,30.0,99.0,0.0,0.36,81.6,5.689316145238224,-2.8796886530931483,4.3138144218642465
mp-643264,BaMg2FeH8,0.17379314326416934,3.310495649052089,0.0,39.0,54.0,0.18,0.21,94.38,-0.5104529621344331,7.907845092862723,4.783205466529403
mp-18968,Li2FeSiO4,0.4993786355659096,3.129272616958105,0.0,44.0,88.0,0.28,0.28,112.64,0.46038671921079255,1.4265510031329631,-0.40895909985224216
mp-561067,KRb2FeF6,0.3500421155008848,3.4268223606196653,0.0,23.0,49.0,0.34,0.3,59.8,5.875178801700631,-3.377536682853509,5.03709021892206
mp-19127,Sr2FeMoO6,0.5764546180915937,5.465475723894391,0.7381334166671749,-15.0,161.0,0.43,0.55,-46.5,1.8796156778138848,2.6435995829418477,-0.4446594951221468
mp-19127,Sr2FeMoO6,0.576454618,5.465475724,0.738133417,-15.0,161.0,0.43,0.55,-46.5,1.8796156778138848,2.6435995829418477,-0.4446594951221468
