mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus,PC 1,PC 2,PC 3
mp-9459,Y4C5,0.13300700199999999,4.729248252,0.0,52.0,101.0,0.76,0.28,133.12,-1.0695378629260648,1.3559249868822545,0.6908019537861574
mp-1025246,Er2B4C,0.131380924,8.158864972,0.0,127.0,169.0,0.84,0.2,304.8,-1.8110979067784378,0.3217472407593907,0.4294477123916087
mp-1025323,Dy2Cr2C3,0.20567280899999998,8.179075697,0.0,69.0,149.0,0.77,0.3,179.4,-1.3544453294939822,0.3215522435599438,0.9703282400357689
mp-1025372,Y2Cr2C3,0.17595993199999999,5.553900998,0.0,74.0,161.0,0.63,0.3,192.4,-0.6919946703772738,0.7244772200111727,0.7064844660759769
mp-1025441,Ta2AlC,0.10355754800000001,11.45046293,0.0,122.0,194.0,0.15,0.24,302.56,-0.4772321858866694,0.2012850769545354,0.17315545988411826
mp-10601,Y3GaC,0.139220344,5.007370795,0.0,64.0,79.0,0.05,0.18,151.04,-0.5145342521229459,0.5937366019562421,-0.04978789241955436
mp-10699,LuRh3C,0.132909916,11.50305721,0.0,84.0,208.0,0.01,0.32,221.76,-0.5946029449034461,-0.1592621431896744,-0.06642190099896705
mp-10706,ZrRu3C,0.09278447699999999,9.774537371000001,0.0,157.0,257.0,0.1,0.25,392.5,-0.5964525923221113,-0.5386241081888932,-0.18417972320092435
mp-10856,Er(BC)2,0.107457875,7.06027874,0.0,124.0,178.0,1.07,0.22,302.56,-1.1600036633278084,0.26463171389963436,0.4560175203469462
mp-10919,Rb2PtC2,0.299340577,4.759705947,0.0,17.0,37.0,14.89,0.3,44.2,1.988080741795811,-1.1127040948052305,1.906967023028989
mp-13137,Hf2CS,0.135853874,11.15244049,0.0,123.0,177.0,0.1,0.22,300.12,-0.2364650166464823,-0.23125423862911518,-0.5716606418370475
mp-13502,TmCoC2,0.16361520699999998,8.974300185,0.0,99.0,175.0,0.46,0.26,249.48,-1.0947328859838927,-0.2575035719906623,0.21285920630386618
mp-15661,Sc4C3,0.126701519,3.799358844,0.0,66.0,112.0,0.04,0.25,165.0,-0.9113423395526196,0.037672831805368893,0.6604591216357333
mp-1640,Ho2C,0.14173192699999998,8.412835113,0.0,32.0,64.0,2.4,0.29,82.56,-1.338518420525949,-0.5166217600268391,0.5423679120301921
mp-18814,MnCO3,0.49213422799999995,3.55923294,0.0,44.0,99.0,0.8,0.31,115.28,0.5018047050076165,0.5873704558284311,-0.5444172923992454
mp-20004,Zr2InC,0.11973004400000001,6.892760851,0.0,82.0,119.0,0.1,0.22,200.08,-0.33147494961721674,-0.37071302593578215,-0.39623215040192583
mp-20197,Cr2GaC,0.198991366,6.887637715,0.0,116.0,180.0,0.08,0.24,287.68,-0.35090987768086146,-0.004935890501636865,0.35885066439154734
mp-20424,MgCo3C,0.15722292300000001,6.5633791010000015,0.0,113.0,198.0,0.23,0.26,284.76,-0.9127541773696531,0.987135439421431,0.6005558235612792
mp-20661,Ti2PbC,0.17689840699999998,8.250785347,0.0,72.0,118.0,0.11,0.25,180.0,0.050647618591934535,0.13083192616218098,-0.19010902436244298
mp-27919,Ti8C5,0.131293409,4.541437897,0.0,115.0,170.0,0.16,0.22,280.6,0.2696191237910265,0.1759073432720523,-0.6428562363278411
mp-2958,Dy(BC)2,0.13422198800000001,6.758977099,0.0,127.0,182.0,0.97,0.22,309.88,-0.9882937838492128,0.2904971040546748,0.5719336642789049
mp-29896,Y2B3C2,0.123425447,4.565790384,0.0,65.0,149.0,11.41,0.31,170.3,-0.8366341197657033,0.8097201423181714,0.4892518000720799
mp-3054,Li2CO3,0.5103052579999999,1.996752479,0.0,27.0,55.0,2.88,0.29,69.66,0.6504402791918634,1.32877036050185,-0.2630035750829568
mp-3155,Sc3FeC4,0.13131601199999998,4.427777483,0.0,120.0,178.0,0.11,0.22,292.8,-1.1584552015144682,0.2268604775775184,0.9393805990606388
mp-3155,Sc3FeC4,0.1313160118297123,4.427777483208082,0.0,120.0,178.0,0.11,0.22,292.8,-1.1584552015144682,0.2268604775775184,0.9393805990606388
mp-3747,Ti3AlC2,0.120803696,4.207863175,0.0,126.0,159.0,0.05,0.19,299.88,-0.045716968803368424,-0.03953790190373357,-0.2469384695669485
mp-3822,SrCO3,0.517407133,3.635955451,0.0,30.0,60.0,0.35,0.29,77.4,0.8813599155425937,1.4541785102104607,-0.24594913324798212
mp-4230,Sc3TlC,0.19783890899999998,6.159752463999999,0.0,82.0,97.0,0.01,0.17,191.88,0.33030190832587136,-0.7335383512922938,0.9003556788776452
mp-4613,Zr2SnC,0.10734501800000001,7.123121982000001,0.0,80.0,127.0,0.08,0.24,198.4,-0.2644049946983214,-0.39834083559267397,-0.30147407863987935
mp-4798,Sc(AlC)3,0.086512425,3.272985015,0.0,138.0,166.0,0.04,0.17,322.92,-0.8393443588260857,0.131195726824193,0.5391222651105676
mp-5025,Zr2CS,0.132640451,6.013909005,0.0,112.0,165.0,0.11,0.22,273.28,-0.25876819130185846,-0.3604507568507752,-0.37328146137246154
mp-5106,TbCoC2,0.124743731,8.231613414,0.0,95.0,168.0,0.4,0.26,239.4,-0.8980782585150345,0.29644534600587474,0.29939888556343836
mp-5348,MgCO3,0.578004868,2.898973036,0.0,63.0,105.0,0.71,0.25,157.5,0.24589998392985543,1.9617625052516756,0.5099776046378548
mp-541989,Na2CN2,0.230019998,2.149228575,0.0,18.0,41.0,4.84,0.31,47.16,1.623315602698203,1.41505313976589,0.765687768517245
mp-5659,Ti3SiC2,0.11908903300000001,4.474908098,0.0,139.0,184.0,0.02,0.2,333.6,-0.3323948685891885,-0.06259162717767844,-0.1894997011388547
mp-570784,Hf2Al3C4,0.088639186,7.5595890820000005,0.0,156.0,197.0,0.04,0.19,371.28,-0.9334267843170307,0.15652093171925113,0.2509276933834516
mp-615314,ScCoC2,0.12378249699999999,5.227342152,0.0,103.0,201.0,0.67,0.28,263.68,-0.6164117404146391,-0.046475249218756544,0.20444584818640202
