mp_id,Formula,IPF,Density,E_above_Hull,G_VRH,K_VRH,Elastic_Anisotropy,poisson_ratio,Y_Modulus
mp-505531,FeS,0.15456986974137746,4.140337296357571,0.0,19.0,30.0,47.19,0.24,47.12
mp-505554,Sc(FeSi)2,0.14361618887288816,5.391728237009906,0.0,110.0,172.0,0.18,0.24,272.8
mp-568725,Dy(FeB)2,0.1928314060287035,8.008231829204718,0.0,75.0,113.0,0.2,0.23,184.5
mp-5778,AlVFe2,0.18172229698259232,6.773327621235782,0.0,137.0,218.0,0.0,0.24,339.76
mp-7600,Th(FeSi)2,0.15089079406668066,8.501325575542893,0.0,88.0,154.0,0.22,0.26,221.76
mp-862288,AlFe2W,0.16552365154728016,10.595547042879602,0.0,64.0,232.0,3.85,0.37,175.36
mp-864764,Ta2FeOs,0.13595772431198386,16.164722811212954,0.0,83.0,249.0,0.19,0.35,224.1
mp-865187,MgFeRh2,0.15279574249770486,8.317102651224308,0.0,73.0,155.0,0.4,0.3,189.8
mp-9198,Fe(SiP)4,0.055335026870076964,3.3459219879134334,0.0,91.0,115.0,0.46,0.19,216.58
mp-1019100,SmFeSi,0.1997474951801632,7.045097021894572,0.0,48.0,76.0,1.29,0.24,119.04
mp-12061,Lu(FeB)2,0.17942564343113718,9.21336916297408,0.0,71.0,148.0,11.58,0.29,183.18
mp-16334,Fe3PdN,0.19676951228902068,8.27411915840166,0.0,85.0,187.0,0.07,0.3,221.0
mp-19102,Sr2FeO4,0.5771798647859696,5.106824805695793,0.0,63.0,111.0,0.03,0.26,158.76
mp-19359,NaFeO2,0.5920539626991935,4.208426588436105,0.0,72.0,114.0,0.3,0.24,178.56
mp-19963,TiFe2Sn,0.1842176596479672,8.367357755094483,0.0,106.0,181.0,0.0,0.26,267.12
mp-22434,HfFeP,0.14317211265699495,10.755335245579223,0.0,125.0,213.0,0.13,0.25,312.5
mp-3155,Sc3FeC4,0.1313160118297123,4.427777483208082,0.0,120.0,178.0,0.11,0.22,292.8
mp-4088,La(FeSi)2,0.1619870600352024,6.226265158917527,0.0,70.0,106.0,0.42,0.23,172.2
mp-4196,NdFeSi2,0.1801205340396293,6.069993532662315,0.0,81.0,115.0,0.14,0.22,197.64
mp-4883,Ba(FeP)2,0.2257445021865103,5.702756767321699,0.0,56.0,90.0,0.55,0.24,138.88
mp-505332,LaFeSi,0.16556574698085802,6.127574045141812,0.0,24.0,38.0,30.77,0.25,60.0
mp-624492,Li(Fe3Ge2)2,0.18318550584879445,7.323536906496803,0.0,65.0,135.0,0.34,0.29,167.70000000000005
mp-8306,Ba3FeN3,0.2903487904128355,5.196240137983644,0.0,19.0,33.0,0.6,0.26,47.88
mp-8648,TiFeSi,0.1501576695810445,5.6248780041688065,0.0,109.0,183.0,0.4,0.25,272.5
mp-9437,NbFeSb,0.13730043256093735,8.448733889055742,0.0,81.0,166.0,0.26,0.29,208.98
mp-16272,Ce(FeP3)4,0.1017619091914366,5.171877804843587,0.0,132.0,161.0,0.02,0.18,311.52
mp-21141,Fe2CuGe2,0.16984691256283047,7.982389200859106,0.7931206666675905,62.0,129.0,0.98,0.29,159.96
mp-21471,LiFeAs,0.15618313575265286,5.211400407134747,0.0,40.0,68.0,0.49,0.25,100.0
mp-27904,FeSbS,0.15666462674286738,6.952996117476952,0.0,97.0,112.0,0.31,0.16,225.04
mp-28884,Cs(FeAs)2,0.291217460302899,5.880310923396108,0.0,26.0,44.0,0.18,0.25,65.0
mp-31187,TiAlFe2,0.18302227726688025,6.253070135591179,0.0,105.0,185.0,0.07,0.26,264.6
mp-3805,Al(FeB)2,0.15354113742872438,5.79199396598175,0.0,129.0,203.0,0.2,0.24,319.92
mp-5399,Tb(FeSi)2,0.1389395877509802,7.200878266867101,0.0,82.0,137.0,0.2,0.25,205.0
mp-5597,Ca(FeP)2,0.1754508400779713,4.868177390439816,0.0,79.0,89.0,1.59,0.16,183.28
mp-561511,FeAsS,0.15310685391173326,6.221555948909835,0.0,117.0,143.0,0.28,0.18,276.12
mp-862290,LiFeRh2,0.1741622516269664,8.524073952353506,0.0,60.0,143.0,1.19,0.32,158.4
mp-866141,TiFe2Si,0.18300581412782066,6.7581276538375015,0.0,146.0,229.0,0.01,0.24,362.08
mp-975359,Rb(FeAs)2,0.2617425348093682,5.6360249502044235,0.0,26.0,49.0,1.0,0.27,66.04
mp-983358,HfAlFe2,0.16546743070198322,9.628102428037316,0.0,91.0,166.0,0.01,0.27,231.14
mp-1029659,Ca3FeN3,0.2166933250015826,3.222255763827941,0.0,47.0,76.0,0.05,0.25,117.5
mp-11201,Sc6FeSb2,0.1249780184086204,4.7611336384527565,0.0,45.0,72.0,0.19,0.24,111.6
mp-12075,Tb(FeB)2,0.15680959796955354,7.821976730972777,0.0,74.0,123.0,0.19,0.25,185.0
mp-19035,BaFeO3,0.6339850627730784,6.104829379579924,0.0,75.0,116.0,0.18,0.24,186.0
mp-20049,LiFeP,0.1579303912105199,3.8747953902789183,0.0,51.0,80.0,0.76,0.24,126.48
mp-20238,Th(FeGe)2,0.17001763779218046,9.65994186354958,0.0,72.0,126.0,0.24,0.26,181.44
mp-20245,CeFeSi,0.1557575610897289,6.792241310030813,0.0,32.0,88.0,6.39,0.34,85.76
mp-20924,U(FeSi)2,0.1458053346377448,9.280268498520932,0.0,82.0,168.0,1.94,0.29,211.56
mp-21662,TiFeSi2,0.12595933635788814,5.1432356119067775,0.0,116.0,180.0,0.03,0.24,287.68
mp-22191,HfFeGe,0.15446623864784298,11.1212707640574,0.0,91.0,197.0,0.25,0.3,236.6
mp-23804,Mg2FeH6,0.1199095288130903,2.7767773872587216,0.0,61.0,79.0,0.01,0.19,145.18
mp-3035,Ce(FeSi)2,0.15386968756067726,6.676438879050527,0.0,76.0,144.0,0.24,0.28,194.56
mp-3618,Sc2FeSi2,0.11957588545877705,4.124423887485785,0.0,75.0,120.0,0.11,0.24,186.0
mp-4488,Sr(FeAs)2,0.18785084506156496,6.319998733248389,0.0,42.0,78.0,1.1,0.27,106.68
mp-4595,VFe2Si,0.17560167243740976,7.112631276806603,0.0,44.0,246.0,22.73,0.42,124.96
mp-510281,FeCuO2,0.4620488694594185,5.361834298244193,0.0,50.0,143.0,2.4,0.34,134.0
mp-540809,Zr2Fe12P7,0.16975722021180134,7.290370076772892,0.0,127.0,216.0,0.09,0.25,317.5
mp-865179,Hf2FeOs,0.13636325971507504,15.144160510755146,0.0,94.0,196.0,0.15,0.29,242.52
mp-865490,V2CrFe,0.21125710640798706,7.348434423639102,0.0,107.0,232.0,0.68,0.3,278.2
mp-961673,TiFeTe,0.2797864537394527,7.544316549414457,0.0,80.0,153.0,0.04,0.28,204.8
mp-1018895,PrFeSi,0.14052708255416846,6.364388156200223,0.0,42.0,61.0,2.04,0.22,102.48
mp-11202,Y6FeSb2,0.14630713364471787,5.6743866817132185,0.0,35.0,59.0,0.25,0.25,87.5
mp-19421,FeWO4,0.5342803459794407,7.090244770279603,0.0,54.0,141.0,0.62,0.33,143.64
mp-21336,TaFeP,0.14664585366594407,11.640108246456196,0.0,143.0,264.0,0.1,0.27,363.22
mp-22152,NaFeAs,0.19410324245881008,4.793908386613678,0.0,32.0,50.0,0.9,0.23,78.72
mp-22701,ScFeSi,0.13951689756665347,4.848691540330628,0.0,62.0,139.0,0.62,0.31,162.44
mp-22793,AlFe3C,0.17341104708130356,6.473381427944479,0.0,98.0,230.0,0.97,0.31,256.76
mp-31185,MnAlFe2,0.1663795746323075,7.019572565285538,0.0,122.0,196.0,0.67,0.24,302.56
mp-4189,Dy6FeSb2,0.1801640555763463,8.715163774193382,0.0,35.0,60.0,0.24,0.25,87.5
mp-510624,SrFeO3,0.6235820148808287,5.3056988684625415,0.0,83.0,131.0,0.0,0.24,205.84
mp-5451,Er(FeGe)2,0.17038328912943895,8.830491042709065,0.0,51.0,126.0,0.76,0.32,134.64
mp-5529,MnFe2Si,0.15988294526845548,7.393942769723793,0.0,97.0,233.0,2.61,0.32,256.08
mp-568961,Ba(FeAs)2,0.20882032009483695,6.446281180426621,0.0,42.0,77.0,0.59,0.27,106.68
mp-636320,TiGaFe2,0.1969910165773528,7.798866002382084,0.0,100.0,190.0,0.32,0.28,256.0
mp-861953,AlFeRh2,0.1347054325552005,8.787100304790068,0.0,38.0,193.0,29.81,0.41,107.16
mp-861983,Ti2MnFe,0.17020698849289725,6.549536522803793,0.0,78.0,180.0,0.63,0.31,204.36
mp-865170,GaFeRh2,0.1428965390542674,9.955781372266408,0.0,-57.0,192.0,-6.48,0.67,-190.38
mp-865280,NbAlFe2,0.1679079732267066,7.347107032217942,0.0,124.0,212.0,0.0,0.26,312.48
mp-866051,HfFe2Sn,0.16939683382649162,11.322827521885165,0.0,107.0,179.0,0.0,0.25,267.5
mp-9381,Zr6FeTe2,0.190944595199784,7.415098713774526,0.0,60.0,114.0,0.09,0.28,153.6
mp-9884,KFeSe2,0.2337012095749796,3.770900712859419,0.0,8.0,18.0,2.2,0.31,20.96
mp-10065,UFe3B2,0.19358538383855708,11.036221026167702,0.0,132.0,233.0,0.55,0.26,332.64
